BioSample_s	Library_Name_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	geo_loc_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LoadDate_s	Platform_s	SRA_Study_s	dev_stage_s	ecotype_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	tissue_s
SAMN03394519	AR_re	366	240	Quercus arizonica	Mar 13, 2015	SRR1915524	SRS868426	AR_re	USA: UMN Greenhouse, St. Paul, MN	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394520	BJSL25_re	484	313	Quercus brandegeei	Mar 13, 2015	SRR1915525	SRS874263	BJSL25_re	Mexico: Sierra la Laguna, Baja del Sur	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394521	BJVL19_re	427	275	Quercus brandegeei	Mar 13, 2015	SRR1915526	SRS874262	BJVL19_re	Mexico: Valle Perdido, Baja del Sur	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394522	CH_re	411	268	Quercus chrysolepis	Mar 13, 2015	SRR1915527	SRS874261	CH_re	USA: UMN Greenhouse, St. Paul, MN	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394523	CRL0001_re	339	220	Quercus oleoides	Mar 13, 2015	SRR1915528	SRS874260	CRL0001_re	Costa Rica: RincÃ³n de la Vieja National Park	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394524	CRL0030_re	293	206	Quercus oleoides	Mar 13, 2015	SRR1915529	SRS874259	CRL0030_re	Costa Rica: Santa Rosa National Park	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394525	DO_re	176	116	Quercus douglasii	Mar 13, 2015	SRR1915530	SRS874258	DO_re	USA: UMN Greenhouse, St. Paul, MN	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394526	DU_re	339	222	Quercus durata	Mar 13, 2015	SRR1915531	SRS874257	DU_re	USA: UMN Greenhouse, St. Paul, MN	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394527	EN_re	67	44	Quercus engelmannii	Mar 13, 2015	SRR1915532	SRS874256	EN_re	USA: UMN Greenhouse, St. Paul, MN	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
SAMN03394528	FLAB109_re	291	193	Quercus geminata	Mar 13, 2015	SRR1915533	SRS874255	FLAB109_re	USA: Archbold Biological Station, FL	WGS	<not provided>	PRJNA277574	Plant	UNIVERSITY OF MINNESOTA	public	0	SINGLE	Mar 13, 2015	ILLUMINA	SRP055977	Adult	not applicable	<not provided>	<not provided>	<not provided>	Leaf
