BioSample_s	Library_Name_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	isolate_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LoadDate_s	Platform_s	ReleaseDate_s	SRA_Study_s	age_s	g1k_analysis_group_s	g1k_pop_code_s	sex_s	source_s	tissue_s
SAMN03753617	90.o31	77	49	Vidua hypocherina	SRR2053224	SRS954896	Vidua hypocherina, sample 90.o31	90.o31	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753619	90.o38	84	54	Vidua regia	SRR2053225	SRS954895	Vidua regia, sample 90.o38	90.o38	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753618	90.o50	83	55	Vidua fischeri	SRR2053226	SRS954894	Vidua fischeri, sample 90.o50	90.o50	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753613	90.o53	74	46	Vidua orientalis	SRR2053227	SRS954893	Vidua orientalis, sample 90.o53	90.o53	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753601	A056	70	44	Lagonosticta senegala rhodopsis	SRR2053228	SRS954892	Lagonosticta senegala rhodopsis, sample A056	A056	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753616	A081	73	46	Vidua paradisaea	SRR2053229	SRS954891	Vidua paradisaea, sample A081	A081	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753615	A082	71	45	Vidua obtusa	SRR2053230	SRS954890	Vidua obtusa, sample A082	A082	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753612	A089	83	52	Vidua macroura	SRR2053231	SRS954887	Vidua macroura arenosa, sample A089	A089	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753608	A107	88	57	Lagonosticta rhodopareia	SRR2053232	SRS954888	Lagonosticta rhodopareia, sample A107	A107	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
SAMN03753604	A145	87	55	Lagonosticta larvata	SRR2053233	SRS954889	Lagonosticta larvata, sample A145	A145	OTHER	<not provided>	PRJNA285779	Model organism or animal	BOSTON UNIVERSITY	public	0	SINGLE	Jun 05, 2015	ILLUMINA	Jun 24, 2015	SRP059199	after hatch year	<not provided>	<not provided>	male	<not provided>	muscle
