BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	sex_s	strain_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Platform_s	ReleaseDate_s	SRA_Study_s	age_s	dev_stage_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	tissue_s
SAMN04233193	SRX1425835	Daes_f	304	264	Danio aesculapii	SRR2912269	SRS1152558	Daes_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233194	SRX1425836	Daes_m	350	303	Danio aesculapii	SRR2912270	SRS1158108	Daes_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233195	SRX1425837	Dalb_f	422	364	Danio albolineatus	SRR2912271	SRS1158107	Dalb_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233196	SRX1425838	Dalb_m	675	577	Danio albolineatus	SRR2912272	SRS1158106	Dalb_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233197	SRX1425839	Dcho_f	269	234	Danio choprai	SRR2912273	SRS1158105	Dcho_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233198	SRX1425840	Dcho_m	298	259	Danio choprai	SRR2912274	SRS1158104	Dcho_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233199	SRX1425841	Ddan_f	219	192	Danio dangila	SRR2912275	SRS1158103	Ddan_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233200	SRX1425842	Ddan_m	229	198	Danio dangila	SRR2912276	SRS1158102	Ddan_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233201	SRX1425843	Dery_f	264	229	Microrasbora erythromicron	SRR2912277	SRS1158100	Dery_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233202	SRX1425844	Dery_m	214	188	Microrasbora erythromicron	SRR2912278	SRS1158101	Dery_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
