study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2743	ERP000991	SAMEA1322899	ERS070236	ERX030872	ERR053824	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053824/ERR053824_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053824/ERR053824_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053824/ERR053824_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053824/ERR053824_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322899	ERS070236	ERX030873	ERR053825	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053825/ERR053825_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053825/ERR053825_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053825/ERR053825_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053825/ERR053825_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110614_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-118_110614_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322873	ERS070237	ERX030874	ERR053826	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053826/ERR053826_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053826/ERR053826_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053826/ERR053826_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053826/ERR053826_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322873	ERS070237	ERX030875	ERR053827	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053827/ERR053827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053827/ERR053827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053827/ERR053827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053827/ERR053827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110614_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-291_110614_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322940	ERS070238	ERX030876	ERR053828	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053828/ERR053828_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053828/ERR053828_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053828/ERR053828_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053828/ERR053828_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322940	ERS070238	ERX030877	ERR053829	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053829/ERR053829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053829/ERR053829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053829/ERR053829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053829/ERR053829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-302_110614_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322917	ERS070239	ERX030878	ERR053830	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053830/ERR053830_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053830/ERR053830_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053830/ERR053830_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053830/ERR053830_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_100927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_100927_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322917	ERS070239	ERX030879	ERR053831	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053831/ERR053831_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053831/ERR053831_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053831/ERR053831_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053831/ERR053831_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110314_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322917	ERS070239	ERX030880	ERR053832	33444	Heliconius elevatus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053832/ERR053832_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053832/ERR053832_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053832/ERR053832_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053832/ERR053832_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-315_110704_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322915	ERS070240	ERX030881	ERR053833	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053833/ERR053833_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053833/ERR053833_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053833/ERR053833_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053833/ERR053833_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_100927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_100927_2.fastq.gz		
