taxa	H	E
t390	0.00123278	0.00049935	
t30	0.00114876	0.00048909	
t300	0.00112391	0.00050542	
t140	0.00125973	0.00049042	
t410	0.00157834	0.0005105	
t230	0.00125081	0.00047653	
t220	0.00113423	0.00050321	
t70	0.00114942	0.00052925	
t00	0.00149715	0.00051148	
t460	0.00102577	0.00050943	
t400	0.00135445	0.0005183	
t530	0.00128276	0.00053765	
t120	0.00132387	0.00053119	
t260	0.00112283	0.00050973	
t540	0.00128387	0.00051143	
t200	0.00126068	0.00053404	
t340	0.00150214	0.00047513	
t330	0.00135653	0.00052078	
t20	0.00133346	0.00051106	
t320	0.00144883	0.00050604	
t510	0.00122443	0.00053644	
t290	0.00131965	0.0005062	
t470	0.0012916	0.0004843	
t500	0.0018352	0.00049027	
t190	0.00129437	0.00051783	
t310	0.00129901	0.00051385	
t180	0.00132478	0.00053362	
t10	0.00137902	0.00051076	
t590	0.00135592	0.00051582	
t370	0.00139081	0.00053248	
t130	0.00120304	0.00052627	
t240	0.00127821	0.00051194	
t610	0.00122921	0.00054694	
t110	0.00125628	0.0005199	
t90	0.00146639	0.00053535	
t620	0.00137732	0.00052546	
t280	0.00127246	0.00055947	
t560	0.00116225	0.0005518	
t630	0.00139469	0.00052532	
t270	0.00127577	0.00050461	
t440	0.00116433	0.00051829	
t170	0.00141525	0.00053818	
t350	0.00115845	0.00052992	
t360	0.00144982	0.00053248	
t210	0.00130467	0.00054124	
t430	0.00132747	0.00053665	
t40	0.00150257	0.00053235	
t80	0.0017089	0.00053342	
t60	0.00130264	0.00057169	
t100	0.00149147	0.00052521	
t480	0.00133997	0.00055119	
t550	0.00141187	0.00053593	
t600	0.00146237	0.00053516	
t580	0.00148366	0.00058284	
t450	0.00117558	0.00053423	
t420	0.00158632	0.00051203	
t520	0.00155582	0.0004783	
t150	0.00157455	0.00050604	
t490	0.00151417	0.00053842	
t50	0.00141706	0.00053902	
t570	0.00149343	0.00053399	
t160	0.00159955	0.00056317	
t250	0.00151187	0.00052426	
t380	0.00134797	0.00055913	
