sample	Nreads	passed	passed.w.trim	passed.total
t00	10762	10762	0	10762
t10	10575	10575	0	10575
t100	10880	10880	0	10880
t110	10759	10759	0	10759
t120	10752	10752	0	10752
t130	10994	10994	0	10994
t140	10537	10537	0	10537
t150	10930	10930	0	10930
t160	10799	10799	0	10799
t170	10890	10890	0	10890
t180	10572	10572	0	10572
t190	10785	10785	0	10785
t20	10782	10782	0	10782
t200	10550	10550	0	10550
t210	10710	10710	0	10710
t220	10713	10713	0	10713
t230	10984	10984	0	10984
t240	10842	10842	0	10842
t250	11005	11005	0	11005
t260	10896	10896	0	10896
t270	10891	10891	0	10891
t280	10958	10958	0	10958
t290	10715	10715	0	10715
t30	10672	10672	0	10672
t300	10540	10540	0	10540
t310	10539	10539	0	10539
t320	10963	10963	0	10963
t330	10799	10799	0	10799
t340	10784	10784	0	10784
t350	10900	10900	0	10900
t360	10980	10980	0	10980
t370	10802	10802	0	10802
t380	10867	10867	0	10867
t390	10499	10499	0	10499
t40	10900	10900	0	10900
t400	10625	10625	0	10625
t410	10788	10788	0	10788
t420	10863	10863	0	10863
t430	10921	10921	0	10921
t440	10954	10954	0	10954
t450	11129	11129	0	11129
t460	10867	10867	0	10867
t470	11052	11052	0	11052
t480	10838	10838	0	10838
t490	11053	11053	0	11053
t50	10653	10653	0	10653
t500	10704	10704	0	10704
t510	10878	10878	0	10878
t520	11101	11101	0	11101
t530	10567	10567	0	10567
t540	10651	10651	0	10651
t550	10867	10867	0	10867
t560	10915	10915	0	10915
t570	11117	11117	0	11117
t580	10719	10719	0	10719
t590	10972	10972	0	10972
t60	10876	10876	0	10876
t600	10780	10780	0	10780
t610	10631	10631	0	10631
t620	10664	10664	0	10664
t630	10926	10926	0	10926
t70	10879	10879	0	10879
t80	10717	10717	0	10717
t90	10755	10755	0	10755

    Nreads = total number of reads for a sample
    passed = retained reads that passed quality filtering at full length
    passed.w.trim= retained reads that were trimmed due to detection of adapters
    passed.total  = total kept reads of sufficient length
    note: you can set the option in params file to include 
    trimmed reads of xx length.

