taxon       	nloci	f1loci	f2loci	nsites	npoly	poly
t250	974	787	787	70041	103	0.0014706
t380	976	804	804	71550	94	0.0013138
t570	972	809	809	71994	102	0.0014168
t160	967	820	820	72976	113	0.0015485
t50	979	792	792	70488	96	0.0013619
t490	966	789	789	70219	100	0.0014241
t150	972	789	789	70219	107	0.0015238
t520	982	800	800	71194	107	0.0015029
t580	966	786	786	69948	97	0.0013867
t420	974	803	803	71464	107	0.0014973
t450	972	808	808	71910	79	0.0010986
t600	971	795	795	70750	100	0.0014134
t480	967	789	789	70218	90	0.0012817
t550	969	796	796	70844	95	0.001341
t100	963	792	792	70485	98	0.0013904
t60	961	801	801	71287	83	0.0011643
t80	966	780	780	69418	114	0.0016422
t430	968	797	797	70931	92	0.001297
t40	970	804	804	71552	106	0.0014814
t210	970	796	796	70836	86	0.0012141
t360	964	808	808	71909	98	0.0013628
t350	970	802	802	71375	80	0.0011208
t170	965	802	802	71375	98	0.001373
t440	974	798	798	71019	80	0.0011265
t270	972	813	813	72355	88	0.0012162
t630	968	810	810	72089	96	0.0013317
t560	961	790	790	70304	78	0.0011095
t280	960	795	795	70752	84	0.0011872
t620	971	770	770	68528	90	0.0013133
t90	962	780	780	69419	97	0.0013973
t110	972	792	792	70486	87	0.0012343
t610	966	783	783	69681	83	0.0011911
t240	972	806	806	71731	86	0.0011989
t130	965	807	807	71819	83	0.0011557
t370	962	803	803	71465	97	0.0013573
t590	967	795	795	70752	93	0.0013145
t10	977	777	777	69149	92	0.0013305
t180	963	780	780	69418	90	0.0012965
t310	972	799	799	71109	89	0.0012516
t190	965	788	788	70129	89	0.0012691
t500	965	796	796	70842	127	0.0017927
t470	969	798	798	71018	87	0.001225
t510	965	784	784	69770	82	0.0011753
t290	968	794	794	70663	90	0.0012737
t320	967	801	801	71282	100	0.0014029
t20	965	802	802	71375	94	0.001317
t330	960	784	784	69772	90	0.0012899
t340	967	789	789	70220	102	0.0014526
t200	963	777	777	69151	81	0.0011713
t540	961	779	779	69329	87	0.0012549
t260	962	798	798	71018	72	0.0010138
t120	965	791	791	70397	89	0.0012643
t530	962	784	784	69774	86	0.0012326
t400	960	790	790	70307	93	0.0013228
t00	963	774	774	68884	99	0.0014372
t460	967	814	814	72445	70	0.0009663
t70	961	790	790	70305	79	0.0011237
t220	969	798	798	71018	79	0.0011124
t410	951	792	792	70486	106	0.0015038
t230	968	796	796	70839	82	0.0011576
t140	962	781	781	69508	84	0.0012085
t300	956	781	781	69503	75	0.0010791
t390	960	775	775	68973	79	0.0011454
t30	958	796	796	70844	79	0.0011151

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
