taxa	H	E
t230	0.00193373	0.00047399	
t630	0.00202125	0.00046831	
t70	0.00200079	0.00047121	
t540	0.00215543	0.00047118	
t570	0.00179748	0.00049195	
t140	0.00196757	0.00047954	
t200	0.00185331	0.00048353	
t560	0.00183075	0.00048789	
t480	0.00208046	0.00048512	
t310	0.00185401	0.00049983	
t120	0.00187761	0.0005053	
t580	0.001675	0.00049844	
t440	0.00203393	0.00048336	
t60	0.00205757	0.00049853	
t520	0.00198836	0.00048798	
t550	0.0021452	0.0004874	
t100	0.00177588	0.00050579	
t290	0.00192034	0.00049089	
t530	0.00185214	0.00049578	
t270	0.00194384	0.00049004	
t350	0.0022807	0.00047464	
t460	0.00207975	0.00048402	
t50	0.00207765	0.00048453	
t20	0.00233864	0.00048028	
t400	0.00190942	0.00049307	
t610	0.00196666	0.00049878	
t170	0.00211334	0.00048573	
t260	0.0020446	0.00049317	
t300	0.00200099	0.00049139	
t470	0.00192037	0.00049626	
t240	0.00176363	0.00051209	
t180	0.00211272	0.00049071	
t80	0.00186428	0.00051091	
t280	0.00206656	0.00049311	
t590	0.00203364	0.00049682	
t30	0.00176356	0.00051086	
t620	0.00173091	0.00050546	
t10	0.00195655	0.00050593	
t390	0.00167517	0.00050698	
t410	0.00188689	0.00050604	
t130	0.00193174	0.00049843	
t340	0.0019892	0.00049742	
t420	0.00187594	0.00049869	
t600	0.00218015	0.00049646	
t220	0.00205606	0.0005081	
t160	0.00227141	0.00048247	
t40	0.00183138	0.00053521	
t370	0.00208852	0.00050797	
t450	0.0020332	0.00050767	
t330	0.00209109	0.00049919	
t110	0.00192249	0.00051379	
t320	0.00187524	0.00052039	
t90	0.00212422	0.00051117	
t00	0.00203356	0.00051794	
t150	0.00230197	0.00049536	
t360	0.00170945	0.00052466	
t250	0.00215698	0.00050358	
t510	0.00172004	0.0005217	
t210	0.00198732	0.00052117	
t380	0.00200066	0.00051873	
t190	0.00184155	0.00052483	
t500	0.00216667	0.00051717	
t430	0.00214666	0.00051433	
t490	0.00202344	0.00051992	
