sample	Nreads	passed	passed.w.trim	passed.total
t00	20000	20000	0	20000
t10	20000	20000	0	20000
t100	20000	20000	0	20000
t110	20000	20000	0	20000
t120	20000	20000	0	20000
t130	20000	20000	0	20000
t140	20000	20000	0	20000
t150	20000	20000	0	20000
t160	20000	20000	0	20000
t170	20000	20000	0	20000
t180	20000	20000	0	20000
t190	20000	20000	0	20000
t20	20000	20000	0	20000
t200	20000	20000	0	20000
t210	20000	20000	0	20000
t220	20000	20000	0	20000
t230	20000	20000	0	20000
t240	20000	20000	0	20000
t250	20000	20000	0	20000
t260	20000	20000	0	20000
t270	20000	20000	0	20000
t280	20000	20000	0	20000
t290	20000	20000	0	20000
t30	20000	20000	0	20000
t300	20000	20000	0	20000
t310	20000	20000	0	20000
t320	20000	20000	0	20000
t330	20000	20000	0	20000
t340	20000	20000	0	20000
t350	20000	20000	0	20000
t360	20000	20000	0	20000
t370	20000	20000	0	20000
t380	20000	20000	0	20000
t390	20000	20000	0	20000
t40	20000	20000	0	20000
t400	20000	20000	0	20000
t410	20000	20000	0	20000
t420	20000	20000	0	20000
t430	20000	20000	0	20000
t440	20000	20000	0	20000
t450	20000	20000	0	20000
t460	20000	20000	0	20000
t470	20000	20000	0	20000
t480	20000	20000	0	20000
t490	20000	20000	0	20000
t50	20000	20000	0	20000
t500	20000	20000	0	20000
t510	20000	20000	0	20000
t520	20000	20000	0	20000
t530	20000	20000	0	20000
t540	20000	20000	0	20000
t550	20000	20000	0	20000
t560	20000	20000	0	20000
t570	20000	20000	0	20000
t580	20000	20000	0	20000
t590	20000	20000	0	20000
t60	20000	20000	0	20000
t600	20000	20000	0	20000
t610	20000	20000	0	20000
t620	20000	20000	0	20000
t630	20000	20000	0	20000
t70	20000	20000	0	20000
t80	20000	20000	0	20000
t90	20000	20000	0	20000

    Nreads = total number of reads for a sample
    passed = retained reads that passed quality filtering at full length
    passed.w.trim= retained reads that were trimmed due to detection of adapters
    passed.total  = total kept reads of sufficient length
    note: you can set the option in params file to include 
    trimmed reads of xx length.

