taxon       	nloci	f1loci	f2loci	nsites	npoly	poly
t500	1000	1000	1000	89000	193	0.0021685
t190	1000	1000	1000	89000	164	0.0018427
t430	1000	1000	1000	89000	191	0.0021461
t490	1000	1000	1000	89000	180	0.0020225
t380	1000	1000	1000	89000	178	0.002
t210	1000	1000	1000	89000	177	0.0019888
t510	1000	1000	1000	89000	153	0.0017191
t250	1000	1000	1000	89000	192	0.0021573
t360	1000	1000	1000	89000	152	0.0017079
t00	1000	1000	1000	89000	181	0.0020337
t90	1000	1000	1000	89000	189	0.0021236
t150	1000	1000	1000	89000	205	0.0023034
t320	1000	1000	1000	89000	167	0.0018764
t110	1000	1000	1000	89000	171	0.0019213
t330	1000	1000	1000	89000	186	0.0020899
t450	1000	1000	1000	89000	181	0.0020337
t370	1000	1000	1000	89000	186	0.0020899
t160	1000	1000	1000	89000	202	0.0022697
t40	1000	1000	1000	89000	163	0.0018315
t220	1000	1000	1000	89000	183	0.0020562
t600	1000	1000	1000	89000	194	0.0021798
t420	1000	1000	1000	89000	167	0.0018764
t340	1000	1000	1000	89000	177	0.0019888
t130	1000	1000	1000	89000	172	0.0019326
t410	1000	1000	1000	89000	168	0.0018876
t10	1000	1000	1000	89000	174	0.0019551
t620	1000	1000	1000	89000	154	0.0017303
t390	1000	1000	1000	89000	149	0.0016742
t30	1000	1000	1000	89000	157	0.001764
t590	1000	1000	1000	89000	181	0.0020337
t280	1000	1000	1000	89000	184	0.0020674
t80	1000	1000	1000	89000	166	0.0018652
t180	1000	1000	1000	89000	188	0.0021124
t240	1000	1000	1000	89000	157	0.001764
t300	1000	1000	1000	89000	178	0.002
t470	1000	1000	1000	89000	171	0.0019213
t170	1000	1000	1000	89000	188	0.0021124
t260	1000	1000	1000	89000	182	0.0020449
t400	1000	1000	1000	89000	170	0.0019101
t610	1000	1000	1000	89000	175	0.0019663
t20	1000	1000	1000	89000	208	0.0023371
t50	1000	1000	1000	89000	185	0.0020787
t460	1000	1000	1000	89000	185	0.0020787
t350	1000	1000	1000	89000	203	0.0022809
t270	1000	1000	1000	89000	173	0.0019438
t530	1000	1000	1000	89000	165	0.0018539
t290	1000	1000	1000	89000	171	0.0019213
t100	1000	1000	1000	89000	158	0.0017753
t520	1000	1000	1000	89000	177	0.0019888
t550	1000	1000	1000	89000	191	0.0021461
t60	1000	1000	1000	89000	183	0.0020562
t440	1000	1000	1000	89000	181	0.0020337
t120	1000	1000	1000	89000	167	0.0018764
t580	1000	1000	1000	89000	149	0.0016742
t310	1000	1000	1000	89000	165	0.0018539
t480	1000	1000	1000	89000	185	0.0020787
t560	1000	1000	1000	89000	163	0.0018315
t200	1000	1000	1000	89000	165	0.0018539
t140	1000	1000	1000	89000	175	0.0019663
t570	1000	1000	1000	89000	160	0.0017978
t540	1000	1000	1000	89000	192	0.0021573
t70	1000	1000	1000	89000	178	0.002
t630	1000	1000	1000	89000	180	0.0020225
t230	1000	1000	1000	89000	172	0.0019326

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
