taxa	H	E
t200	0.00189091	0.00047849	
t390	0.00185515	0.0005074	
t80	0.00173885	0.00048717	
t240	0.00161502	0.00050567	
t250	0.00179031	0.00047364	
t160	0.00145363	0.00047526	
t280	0.00159687	0.00048234	
t320	0.0022075	0.00047177	
t230	0.00184695	0.0004769	
t60	0.00193775	0.00047878	
t50	0.0015429	0.00048168	
t120	0.00176049	0.00051559	
t210	0.00188513	0.00051099	
t460	0.00167229	0.00045364	
t380	0.00193215	0.00048059	
t30	0.00182018	0.00048676	
t130	0.0020894	0.00049873	
t260	0.00175735	0.00051054	
t310	0.0019281	0.00049795	
t370	0.0020101	0.00052289	
t190	0.0018217	0.00052743	
t290	0.00163071	0.00049337	
t180	0.00195643	0.00050484	
t270	0.00202902	0.00050628	
t500	0.00133656	0.00048131	
t170	0.00171178	0.00051468	
t20	0.00193569	0.00051475	
t90	0.00205919	0.0004921	
t10	0.00159865	0.00049144	
t40	0.00166341	0.00049798	
t540	0.00190599	0.00049941	
t360	0.00168434	0.00052093	
t300	0.00212888	0.00048514	
t450	0.00179624	0.00046948	
t520	0.00168364	0.00050565	
t400	0.00181112	0.00050459	
t410	0.00209771	0.00051083	
t220	0.001549	0.00052469	
t150	0.0019764	0.00048327	
t110	0.00181397	0.00048387	
t350	0.00197339	0.0004938	
t550	0.00210605	0.00047981	
t140	0.00199946	0.00047133	
t00	0.00166789	0.00050945	
t430	0.00182559	0.00047927	
t580	0.00167432	0.00046709	
t530	0.00174395	0.00051591	
t560	0.00174127	0.00050034	
t330	0.00196445	0.00053237	
t420	0.00217522	0.00052316	
t570	0.00163131	0.00048198	
t70	0.00174919	0.00051718	
t100	0.00198309	0.00052976	
t340	0.00199193	0.00050827	
t600	0.0017957	0.00049164	
t440	0.00183532	0.00051703	
t490	0.00182659	0.00049916	
t610	0.00176076	0.00049547	
t590	0.00162052	0.00048432	
t510	0.00158942	0.00052163	
t470	0.00166782	0.00053929	
t480	0.00172704	0.00053359	
t630	0.00193388	0.00051864	
t620	0.00163112	0.00053886	
