sample	Nreads	passed	passed.w.trim	passed.total
t00	15290	15290	0	15290
t10	15300	15300	0	15300
t100	15300	15300	0	15300
t110	15360	15360	0	15360
t120	14890	14890	0	14890
t130	15060	15060	0	15060
t140	15430	15430	0	15430
t150	15380	15380	0	15380
t160	15180	15180	0	15180
t170	15180	15180	0	15180
t180	15050	15050	0	15050
t190	14940	14940	0	14940
t20	15070	15070	0	15070
t200	14880	14880	0	14880
t210	14970	14970	0	14970
t220	15100	15100	0	15100
t230	15110	15110	0	15110
t240	14920	14920	0	14920
t250	15080	15080	0	15080
t260	15020	15020	0	15020
t270	15110	15110	0	15110
t280	15060	15060	0	15060
t290	15160	15160	0	15160
t30	15100	15100	0	15100
t300	15180	15180	0	15180
t310	15010	15010	0	15010
t320	15090	15090	0	15090
t330	15250	15250	0	15250
t340	15370	15370	0	15370
t350	15250	15250	0	15250
t360	15110	15110	0	15110
t370	15010	15010	0	15010
t380	15130	15130	0	15130
t390	14890	14890	0	14890
t40	15290	15290	0	15290
t400	15150	15150	0	15150
t410	15040	15040	0	15040
t420	15190	15190	0	15190
t430	15420	15420	0	15420
t440	15440	15440	0	15440
t450	15400	15400	0	15400
t460	15340	15340	0	15340
t470	15510	15510	0	15510
t480	15470	15470	0	15470
t490	15560	15560	0	15560
t50	15220	15220	0	15220
t500	15420	15420	0	15420
t510	15520	15520	0	15520
t520	15190	15190	0	15190
t530	15320	15320	0	15320
t540	15230	15230	0	15230
t550	15420	15420	0	15420
t560	15500	15500	0	15500
t570	15580	15580	0	15580
t580	15600	15600	0	15600
t590	15710	15710	0	15710
t60	15170	15170	0	15170
t600	15530	15530	0	15530
t610	15520	15520	0	15520
t620	15910	15910	0	15910
t630	15670	15670	0	15670
t70	15430	15430	0	15430
t80	15140	15140	0	15140
t90	15260	15260	0	15260

    Nreads = total number of reads for a sample
    passed = retained reads that passed quality filtering at full length
    passed.w.trim= retained reads that were trimmed due to detection of adapters
    passed.total  = total kept reads of sufficient length
    note: you can set the option in params file to include 
    trimmed reads of xx length.

