taxon       	nloci	f1loci	f2loci	nsites	npoly	poly
t470	781	781	781	69509	116	0.0016688
t480	781	781	781	69509	120	0.0017264
t630	790	790	790	70310	136	0.0019343
t620	799	799	799	71111	116	0.0016313
t510	780	780	780	69420	110	0.0015846
t610	786	786	786	69954	123	0.0017583
t590	790	790	790	70310	114	0.0016214
t490	782	782	782	69598	127	0.0018248
t440	778	778	778	69242	127	0.0018341
t600	782	782	782	69598	125	0.001796
t340	773	773	773	68797	137	0.0019914
t100	770	770	770	68530	136	0.0019845
t70	777	777	777	69153	121	0.0017497
t420	765	765	765	68085	148	0.0021738
t570	785	785	785	69865	114	0.0016317
t330	767	767	767	68263	134	0.001963
t560	781	781	781	69509	121	0.0017408
t530	773	773	773	68797	120	0.0017443
t430	776	776	776	69064	126	0.0018244
t580	785	785	785	69865	117	0.0016747
t00	775	775	775	68975	115	0.0016673
t140	776	776	776	69064	138	0.0019981
t550	774	774	774	68886	145	0.0021049
t350	769	769	769	68441	135	0.0019725
t110	775	775	775	68975	125	0.0018123
t150	773	773	773	68797	136	0.0019768
t220	762	762	762	67818	105	0.0015483
t410	761	761	761	67729	142	0.0020966
t400	763	763	763	67907	123	0.0018113
t520	768	768	768	68352	115	0.0016825
t300	766	766	766	68174	145	0.0021269
t450	776	776	776	69064	124	0.0017954
t360	761	761	761	67729	114	0.0016832
t540	766	766	766	68174	130	0.0019069
t40	771	771	771	68619	114	0.0016613
t10	772	772	772	68708	110	0.001601
t90	769	769	769	68441	141	0.0020602
t20	760	760	760	67640	131	0.0019367
t170	761	761	761	67729	116	0.0017127
t500	774	774	774	68886	92	0.0013355
t270	759	759	759	67551	137	0.0020281
t180	758	758	758	67462	132	0.0019567
t290	765	765	765	68085	111	0.0016303
t190	753	753	753	67017	122	0.0018204
t370	755	755	755	67195	135	0.0020091
t310	758	758	758	67462	130	0.001927
t260	755	755	755	67195	118	0.0017561
t130	758	758	758	67462	141	0.0020901
t30	760	760	760	67640	123	0.0018185
t380	762	762	762	67818	131	0.0019316
t210	751	751	751	66839	126	0.0018851
t460	772	772	772	68708	115	0.0016737
t120	753	753	753	67017	118	0.0017607
t50	765	765	765	68085	105	0.0015422
t60	766	766	766	68174	132	0.0019362
t230	760	760	760	67640	125	0.001848
t320	759	759	759	67551	149	0.0022057
t280	760	760	760	67640	108	0.0015967
t160	765	765	765	68085	99	0.0014541
t250	760	760	760	67640	121	0.0017889
t240	751	751	751	66839	108	0.0016158
t80	762	762	762	67818	118	0.00174
t200	748	748	748	66572	126	0.0018927
t390	751	751	751	66839	124	0.0018552

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
